id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13345435,JH124623,2024-01-23T00:00:00.000,052XX W CARMEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1623,016,45,11,08B,2024,2024-01-30T15:41:33.000,,,,,,,,,,,,,,
13347052,JH126708,2024-01-23T00:00:00.000,076XX S GREEN ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,0621,006,17,71,08B,2024,2024-01-30T15:41:33.000,1171962,1854137,41.755201817,-87.645372621,"{'latitude': '41.755201817', 'longitude': '-87.645372621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,572,31,59,20,229,17
13346322,JH125423,2024-01-23T00:00:00.000,023XX N LARAMIE AVE,0810,THEFT,OVER $500,APARTMENT,False,False,2515,025,31,19,06,2024,2024-01-30T15:41:33.000,1141338,1914959,41.922723471,-87.756104982,"{'latitude': '41.922723471', 'longitude': '-87.756104982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,22615,19,307,44,2,6,133,31
13347135,JH126869,2024-01-23T00:00:00.000,014XX N LAKE SHORE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1824,018,43,8,11,2024,2024-01-30T15:41:33.000,1176822,1909956,41.908265588,-87.625877455,"{'latitude': '41.908265588', 'longitude': '-87.625877455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",51,14926,37,308,34,54,14,197,43
13348131,JH128039,2024-01-23T00:00:00.000,008XX E 131ST ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,0533,005,10,54,26,2024,2024-01-30T15:41:33.000,1184158,1818524,41.657198985,-87.601786632,"{'latitude': '41.657198985', 'longitude': '-87.601786632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,4460,51,9,43,47,10,221,6
13345823,JH124815,2024-01-23T00:00:00.000,120XX S STEWART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0523,005,9,53,08B,2024,2024-01-30T15:41:33.000,1175795,1825040,41.675270644,-87.632194104,"{'latitude': '41.675270644', 'longitude': '-87.632194104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45,21861,50,60,22,19,10,218,11
13345683,JH124989,2024-01-23T00:00:00.000,046XX S VINCENNES AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,0221,002,3,38,06,2024,2024-01-30T15:41:33.000,1180399,1874190,41.810039876,-87.613838562,"{'latitude': '41.810039876', 'longitude': '-87.613838562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,4301,4,447,9,36,24,114,8
13346149,JH125658,2024-01-23T00:00:00.000,007XX S KARLOV AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1132,011,24,26,06,2024,2024-01-30T15:41:33.000,1149163,1896538,41.872026195,-87.727830804,"{'latitude': '41.872026195', 'longitude': '-87.727830804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,27,703,14,30,16,142,24
13348356,JH128251,2024-01-23T00:00:00.000,070XX N WASHTENAW AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,2411,024,50,2,06,2024,2024-01-30T15:41:33.000,1157090,1946451,42.008833724,-87.697367815,"{'latitude': '42.008833724', 'longitude': '-87.697367815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",42,22528,20,42,27,12,11,35,50
13347365,JH127009,2024-01-23T00:00:00.000,009XX E 57TH ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,0235,002,5,41,07,2024,2024-01-30T15:41:33.000,1183612,1867418,41.791382547,-87.602265121,"{'latitude': '41.791382547', 'longitude': '-87.602265121', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22260,8,154,33,60,24,132,3
13345943,JH125215,2024-01-23T00:00:00.000,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,0111,001,34,32,06,2024,2024-01-30T15:41:33.000,1176352,1900927,41.883500187,-87.627876698,"{'latitude': '41.883500187', 'longitude': '-87.627876698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,14310,38,580,36,41,22,88,34
13345758,JH124978,2024-01-23T00:00:00.000,039XX W ROOSEVELT RD,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,1132,011,24,29,08B,2024,2024-01-30T15:41:33.000,1150123,1894416,41.866184544,-87.724361483,"{'latitude': '41.866184544', 'longitude': '-87.724361483', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,30,98,14,30,16,142,24
