id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13350730,JH131104,2024-01-26T00:00:00.000,050XX W BARRY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,2521,025,31,19,26,1142268,1920142,2024,2024-02-02T15:41:03.000,41.936928916,-87.752558818,"{'latitude': '41.936928916', 'longitude': '-87.752558818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22618,19,355,17,21,6,176,31
13349401,JH129443,2024-01-26T00:00:00.000,024XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,1423,014,1,24,08B,1160035,1910571,2024,2024-02-02T15:41:03.000,41.910316566,-87.687527244,"{'latitude': '41.910316566', 'longitude': '-87.687527244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,25,302,41,4,7,62,1
13350797,JH131220,2024-01-26T00:00:00.000,012XX W THORNDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2013,020,48,77,14,1166790,1939652,2024,2024-02-02T15:41:03.000,41.989973855,-87.661875097,"{'latitude': '41.989973855', 'longitude': '-87.661875097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",40,4451,76,539,16,14,2,54,48
13349345,JH128786,2024-01-26T00:00:00.000,032XX W Beach Ave,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1422,014,26,23,14,1154520,1909456,2024,2024-02-02T15:41:03.000,41.907369066,-87.707817161,"{'latitude': '41.907369066', 'longitude': '-87.707817161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,4299,24,455,49,5,7,190,26
13349083,JH129173,2024-01-26T00:00:00.000,106XX S CAMPBELL AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,2211,022,19,72,26,1161598,1833951,2024,2024-02-02T15:41:03.000,41.700029307,-87.683912168,"{'latitude': '41.700029307', 'longitude': '-87.683912168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33,4447,71,553,42,33,9,254,19
13349056,JH129109,2024-01-26T00:00:00.000,015XX W NORTH SHORE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2432,024,49,1,06,1164878,1944594,2024,2024-02-02T15:41:03.000,42.003575747,-87.668766695,"{'latitude': '42.003575747', 'longitude': '-87.668766695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",46,21853,10,242,5,9,11,41,49
13348992,JH128827,2024-01-26T00:00:00.000,033XX N MILWAUKEE AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1731,017,30,16,06,1148952,1921889,2024,2024-02-02T15:41:03.000,41.941595948,-87.727948605,"{'latitude': '41.941595948', 'longitude': '-87.727948605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",27,22618,16,329,21,21,1,25,30
13351229,JH131599,2024-01-26T00:00:00.000,075XX S SANGAMON ST,0810,THEFT,OVER $500,APARTMENT,False,True,0621,006,17,71,06,1171284,1854752,2024,2024-02-02T15:41:03.000,41.756904307,-87.647839347,"{'latitude': '41.756904307', 'longitude': '-87.647839347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,21554,70,572,31,59,20,229,17
13349108,JH129216,2024-01-26T00:00:00.000,008XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1133,011,24,27,14,1153838,1896080,2024,2024-02-02T15:41:03.000,41.870677616,-87.710679011,"{'latitude': '41.870677616', 'longitude': '-87.710679011', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21572,28,36,14,30,16,140,24
13350108,JH130458,2024-01-26T00:00:00.000,015XX W SCHOOL ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1922,019,32,6,06,1165488,1921995,2024,2024-02-02T15:41:03.000,41.941550275,-87.667169035,"{'latitude': '41.941550275', 'longitude': '-87.667169035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38,4449,57,678,25,22,5,19,32
13349807,JH130034,2024-01-25T23:59:00.000,049XX W DICKENS AVE,0810,THEFT,OVER $500,STREET,False,False,2522,025,26,19,06,1142906,1913504,2024,2024-02-02T15:41:03.000,41.918701692,-87.750379911,"{'latitude': '41.918701692', 'longitude': '-87.750379911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22615,19,306,44,2,6,188,26
13349026,JH128783,2024-01-25T23:55:00.000,001XX W OHIO ST,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL / MOTEL,False,False,1831,018,42,8,14,1175195,1904167,2024,2024-02-02T15:41:03.000,41.892416949,-87.632028008,"{'latitude': '41.892416949', 'longitude': '-87.632028008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,4446,37,670,36,55,14,72,42
13348595,JH128388,2024-01-25T23:48:00.000,015XX E 76TH PL,0560,ASSAULT,SIMPLE,STREET,False,True,0411,004,8,43,08A,1187707,1854562,2024,2024-02-02T15:41:03.000,41.756008068,-87.58765854,"{'latitude': '41.756008068', 'longitude': '-87.58765854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,21546,39,188,33,61,19,224,10
13350105,JH130416,2024-01-25T23:45:00.000,023XX N ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1431,014,1,22,07,1158557,1915520,2024,2024-02-02T15:41:03.000,41.923927408,-87.692821068,"{'latitude': '41.923927408', 'longitude': '-87.692821068', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,22535,23,294,41,1,7,184,1
13348516,JH128385,2024-01-25T23:42:00.000,022XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1235,012,25,31,08B,1171385,1889202,2024,2024-02-02T15:41:03.000,41.851436512,-87.646460241,"{'latitude': '41.851436512', 'longitude': '-87.646460241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,126,26,43,15,158,25
13348608,JH128375,2024-01-25T23:40:00.000,045XX N MAGNOLIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1913,019,46,3,08B,1167101,1930317,2024,2024-02-02T15:41:03.000,41.964351639,-87.661000678,"{'latitude': '41.964351639', 'longitude': '-87.661000678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,22616,31,611,39,15,5,6,46
13348527,JH128367,2024-01-25T23:39:00.000,011XX W 18TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1235,012,25,31,15,1169379,1891575,2024,2024-02-02T15:41:03.000,41.85799202,-87.653753767,"{'latitude': '41.85799202', 'longitude': '-87.653753767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,251,26,43,15,158,25
13348534,JH128413,2024-01-25T23:36:00.000,078XX S STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,0623,006,6,69,04B,1177638,1853215,2024,2024-02-02T15:41:03.000,41.752545308,-87.624599541,"{'latitude': '41.752545308', 'longitude': '-87.624599541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,21546,67,495,32,61,20,228,4
13348568,JH128371,2024-01-25T23:33:00.000,060XX W PETERSON AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,False,False,1611,016,39,10,04A,1134792,1939505,2024,2024-02-02T15:41:03.000,41.990198567,-87.779574703,"{'latitude': '41.990198567', 'longitude': '-87.779574703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20,22532,36,656,38,18,12,34,39
13348515,JH128370,2024-01-25T23:32:00.000,111XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0531,005,9,49,08B,1180893,1831118,2024,2024-02-02T15:41:03.000,41.691834196,-87.613348659,"{'latitude': '41.691834196', 'longitude': '-87.613348659', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30,21861,45,253,43,19,10,265,11
13348606,JH128389,2024-01-25T23:30:00.000,031XX W 55TH ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,0923,009,14,63,08A,1156229,1867984,2024,2024-02-02T15:41:03.000,41.793530834,-87.70265809,"{'latitude': '41.793530834', 'longitude': '-87.70265809', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,61,764,8,58,13,269,14
